Ref,Val,Package,PosX,PosY,Rot,Side
"R46","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",101.880000,-98.650000,180.000000,bottom
"A1","RaspberryPi_Pico","RaspberryPi_Pico_Common_THT",333.100000,-16.090000,0.000000,top
"D1","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",36.300000,-30.710000,90.000000,top
"D2","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",60.100000,-30.110000,90.000000,top
"D3","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",79.200000,-30.110000,90.000000,top
"D4","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",99.200000,-30.810000,90.000000,top
"D5","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",118.000000,-30.710000,90.000000,top
"D6","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",140.800000,-30.310000,90.000000,top
"D7","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",160.000000,-30.500000,90.000000,top
"D8","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",179.200000,-30.600000,90.000000,top
"D9","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",198.800000,-30.010000,90.000000,top
"D10","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",221.400000,-30.420000,90.000000,top
"D11","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",240.800000,-29.920000,90.000000,top
"D12","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",259.500000,-30.010000,90.000000,top
"D13","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",279.800000,-30.210000,90.000000,top
"D14","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",304.700000,-30.010000,90.000000,top
"D15","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",36.100000,-55.710000,90.000000,top
"D16","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",55.130000,-55.850000,90.000000,top
"D17","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",74.830000,-55.550000,90.000000,top
"D18","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",93.980000,-56.050000,90.000000,top
"D19","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",113.170000,-55.810000,90.000000,top
"D20","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",132.580000,-55.560000,90.000000,top
"D21","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",151.670000,-55.510000,90.000000,top
"D22","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",170.970000,-54.910000,90.000000,top
"D23","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",190.370000,-55.410000,90.000000,top
"D24","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",209.450000,-55.110000,90.000000,top
"D25","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",228.570000,-54.970000,90.000000,top
"D26","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",246.600000,-55.410000,90.000000,top
"D27","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",266.200000,-55.210000,90.000000,top
"D28","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",293.900000,-55.710000,90.000000,top
"D29","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",324.900000,-55.310000,90.000000,top
"D30","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",40.200000,-74.510000,90.000000,top
"D31","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",63.600000,-74.810000,90.000000,top
"D32","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",82.600000,-74.510000,90.000000,top
"D33","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",101.400000,-74.510000,90.000000,top
"D34","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",120.800000,-75.010000,90.000000,top
"D35","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",139.800000,-75.010000,90.000000,top
"D36","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",159.000000,-75.210000,90.000000,top
"D37","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",178.300000,-75.110000,90.000000,top
"D38","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",197.200000,-74.800000,90.000000,top
"D39","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",216.100000,-75.310000,90.000000,top
"D40","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",235.400000,-75.010000,90.000000,top
"D41","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",254.100000,-75.300000,90.000000,top
"D42","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",273.000000,-75.110000,90.000000,top
"D43","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",298.000000,-75.110000,90.000000,top
"D44","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",324.900000,-74.900000,90.000000,top
"D45","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",44.000000,-93.810000,90.000000,top
"D46","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",67.600000,-93.610000,90.000000,top
"D47","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",87.100000,-93.510000,90.000000,top
"D48","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",106.200000,-93.310000,90.000000,top
"D49","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",125.000000,-93.910000,90.000000,top
"D50","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",144.400000,-93.410000,90.000000,top
"D51","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",163.250000,-93.310000,90.000000,top
"D52","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",182.400000,-93.510000,90.000000,top
"D53","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",201.800000,-94.110000,90.000000,top
"D54","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",220.900000,-94.310000,90.000000,top
"D55","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",239.900000,-93.810000,90.000000,top
"D56","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",259.000000,-93.710000,90.000000,top
"D57","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",289.900000,-94.010000,90.000000,top
"D58","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",324.900000,-94.310000,90.000000,top
"D59","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",46.250000,-112.910000,90.000000,top
"D60","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",75.500000,-113.010000,90.000000,top
"D61","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",94.900000,-113.110000,90.000000,top
"D62","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",113.700000,-112.810000,90.000000,top
"D63","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",132.700000,-113.210000,90.000000,top
"D64","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",152.000000,-112.800000,90.000000,top
"D65","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",171.000000,-112.810000,90.000000,top
"D66","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",190.300000,-112.610000,90.000000,top
"D67","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",209.550000,-112.710000,90.000000,top
"D68","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",228.550000,-112.910000,90.000000,top
"D69","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",248.300000,-114.010000,90.000000,top
"D70","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",276.400000,-113.810000,90.000000,top
"D71","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",306.200000,-113.750000,90.000000,top
"D72","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",39.200000,-133.210000,90.000000,top
"D73","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",63.000000,-133.010000,90.000000,top
"D74","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",85.600000,-132.310000,90.000000,top
"D75","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",155.600000,-132.410000,90.000000,top
"D76","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",227.100000,-133.010000,90.000000,top
"D77","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",251.600000,-131.770000,90.000000,top
"D78","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",287.200000,-132.250000,90.000000,top
"D79","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",306.200000,-132.750000,90.000000,top
"D80","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",325.200000,-133.250000,90.000000,top
"L1","LED","LED_D3.0mm",39.780000,-26.700000,0.000000,top
"L2","LED","LED_D3.0mm",59.480000,-36.350000,0.000000,top
"L3","LED","LED_D3.0mm",78.650000,-36.450000,0.000000,top
"L4","LED","LED_D3.0mm",97.800000,-36.350000,0.000000,top
"L5","LED","LED_D3.0mm",120.680000,-27.550000,0.000000,top
"L6","LED","LED_D3.0mm",140.050000,-36.500000,0.000000,top
"L7","LED","LED_D3.0mm",159.180000,-36.650000,0.000000,top
"L8","LED","LED_D3.0mm",178.300000,-36.350000,0.000000,top
"L9","LED","LED_D3.0mm",201.380000,-27.350000,0.000000,top
"L10","LED","LED_D3.0mm",220.650000,-36.400000,0.000000,top
"L11","LED","LED_D3.0mm",239.900000,-36.350000,0.000000,top
"L12","LED","LED_D3.0mm",259.130000,-36.700000,0.000000,top
"L13","LED","LED_D3.0mm",281.280000,-33.850000,0.000000,top
"L14","LED","LED_D3.0mm",35.310000,-61.400000,0.000000,top
"L15","LED","LED_D3.0mm",55.750000,-60.180000,-90.000000,top
"L16","LED","LED_D3.0mm",74.750000,-59.830000,-90.000000,top
"L17","LED","LED_D3.0mm",93.800000,-59.930000,-90.000000,top
"L18","LED","LED_D3.0mm",112.950000,-59.980000,-90.000000,top
"L19","LED","LED_D3.0mm",132.000000,-62.320000,90.000000,top
"L20","LED","LED_D3.0mm",151.000000,-59.280000,-90.000000,top
"L21","LED","LED_D3.0mm",170.250000,-59.730000,-90.000000,top
"L22","LED","LED_D3.0mm",189.300000,-60.130000,-90.000000,top
"L23","LED","LED_D3.0mm",208.550000,-59.930000,-90.000000,top
"L24","LED","LED_D3.0mm",227.450000,-60.030000,-90.000000,top
"L25","LED","LED_D3.0mm",246.800000,-60.180000,-90.000000,top
"L26","LED","LED_D3.0mm",266.200000,-59.680000,-90.000000,top
"L27","LED","LED_D3.0mm",291.400000,-63.420000,90.000000,top
"L28","LED","LED_D3.0mm",304.650000,-56.000000,0.000000,top
"L29","LED","LED_D3.0mm",43.950000,-80.190000,90.000000,top
"L30","LED","LED_D3.0mm",63.950000,-81.770000,90.000000,top
"L31","LED","LED_D3.0mm",82.900000,-81.820000,90.000000,top
"L32","LED","LED_D3.0mm",102.000000,-81.890000,90.000000,top
"L33","LED","LED_D3.0mm",121.100000,-81.820000,90.000000,top
"L34","LED","LED_D3.0mm",140.400000,-81.970000,90.000000,top
"L35","LED","LED_D3.0mm",159.450000,-81.590000,90.000000,top
"L36","LED","LED_D3.0mm",178.600000,-82.070000,90.000000,top
"L37","LED","LED_D3.0mm",197.500000,-82.070000,90.000000,top
"L38","LED","LED_D3.0mm",216.900000,-82.020000,90.000000,top
"L39","LED","LED_D3.0mm",235.850000,-81.720000,90.000000,top
"L40","LED","LED_D3.0mm",254.800000,-81.720000,90.000000,top
"L41","LED","LED_D3.0mm",274.500000,-82.120000,90.000000,top
"L42","LED","LED_D3.0mm",304.100000,-81.920000,90.000000,top
"L43","LED","LED_D3.0mm",45.900000,-100.170000,90.000000,top
"L44","LED","LED_D3.0mm",68.400000,-100.450000,90.000000,top
"L45","LED","LED_D3.0mm",87.400000,-100.200000,90.000000,top
"L46","LED","LED_D3.0mm",106.550000,-100.340000,90.000000,top
"L47","LED","LED_D3.0mm",125.800000,-101.120000,90.000000,top
"L48","LED","LED_D3.0mm",144.900000,-100.770000,90.000000,top
"L49","LED","LED_D3.0mm",164.100000,-101.770000,90.000000,top
"L50","LED","LED_D3.0mm",182.850000,-101.420000,90.000000,top
"L51","LED","LED_D3.0mm",202.400000,-101.370000,90.000000,top
"L52","LED","LED_D3.0mm",221.400000,-100.850000,90.000000,top
"L53","LED","LED_D3.0mm",240.250000,-100.870000,90.000000,top
"L54","LED","LED_D3.0mm",260.600000,-100.350000,90.000000,top
"L55","LED","LED_D3.0mm",281.500000,-103.070000,90.000000,top
"L56","LED","LED_D3.0mm",303.750000,-100.550000,90.000000,top
"L57","LED","LED_D3.0mm",40.700000,-121.140000,90.000000,top
"L58","LED","LED_D3.0mm",64.200000,-121.770000,90.000000,top
"L59","LED","LED_D3.0mm",89.850000,-123.070000,90.000000,top
"L60","LED","LED_D3.0mm",118.400000,-123.290000,90.000000,top
"L61","LED","LED_D3.0mm",178.450000,-124.890000,90.000000,top
"L62","LED","LED_D3.0mm",206.750000,-124.240000,90.000000,top
